    Temper          r      Ro      GRR        T   lambda        Dt
197  23.75 0.12574029 26.3568 84.16056 26.01971 1.133988  5.512531
198  23.80 0.12621183 26.2619 83.21891 25.89392 1.134522  5.491935
199  23.85 0.12667416 26.1633 82.26283 25.76972 1.135047  5.471891
200  23.90 0.12712859 26.0568 82.59009 25.64552 1.135563  5.452331
201  23.95 0.12757324 25.9529 81.93602 25.52481 1.136068  5.433327
202  24.00 0.12801016 25.8457 80.91868 25.40536 1.136565  5.414783
203  24.05 0.12858561 25.8283 80.73371 25.28643 1.137219  5.390550
204  24.10 0.12900629 25.7106 80.59688 25.16857 1.137697  5.372972
205  24.15 0.12941797 25.5945 80.19468 25.05353 1.138166  5.355881
206  24.20 0.12982043 25.4755 78.66473 24.93997 1.138624  5.339276
207  24.25 0.13021510 25.3488 78.83149 24.82609 1.139073  5.323094
208  24.30 0.13060147 25.2246 78.18798 24.71503 1.139514  5.307346
209  24.35 0.13097924 25.0971 78.50881 24.60506 1.139944  5.292038
210  24.40 0.13134715 24.9663 77.28581 24.49636 1.140364  5.277215
211  24.45 0.13170735 24.8286 76.29593 24.38737 1.140774  5.262783
212  24.50 0.13205960 24.6930 76.03486 24.28085 1.141176  5.248745
213  24.55 0.13240485 24.5550 75.87924 24.17521 1.141570  5.235059
214  24.60 0.13273964 24.4138 75.28086 24.07079 1.141953  5.221855
215  24.65 0.13306660 24.2657 75.20156 23.96592 1.142326  5.209025
216  24.70 0.13338623 24.1200 73.49350 23.86334 1.142691  5.196542
217  24.75 0.13369702 23.9715 75.11176 23.76168 1.143046  5.184462
218  24.80 0.13399964 23.8202 73.75719 23.66076 1.143392  5.172754
219  24.85 0.13429522 23.6623 73.43099 23.55916 1.143730  5.161369
220  24.90 0.13458242 23.5069 72.40401 23.45993 1.144059  5.150355
221  24.95 0.13486407 23.3491 72.00230 23.36099 1.144381  5.139598
222  25.00 0.13513705 23.1889 72.29794 23.26286 1.144694  5.129216
223  25.05 0.13540496 23.0216 71.17627 23.16335 1.145000  5.119068
224  25.10 0.13566792 22.8574 70.56302 23.06569 1.145302  5.109146
225  25.15 0.13592420 22.6907 70.58733 22.96835 1.145595  5.099512
226  25.20 0.13617564 22.5216 70.41348 22.87101 1.145883  5.090097
227  25.25 0.13642331 22.3463 69.92419 22.77221 1.146167  5.080856
228  25.30 0.13666675 22.1736 70.38676 22.67488 1.146446  5.071805
229  25.35 0.13690818 21.9992 68.93923 22.57722 1.146723  5.062862
230  25.40 0.13714738 21.8231 68.04809 22.47924 1.146997  5.054031
231  25.45 0.13737987 21.6397 68.18421 22.37977 1.147264  5.045478
232  25.50 0.13761012 21.4596 67.08581 22.28159 1.147528  5.037037
233  25.55 0.13783817 21.2785 68.25014 22.18324 1.147790  5.028703
234  25.60 0.13806200 21.0950 66.98643 22.08454 1.148047  5.020550
235  25.65 0.13828029 20.9043 65.51562 21.98401 1.148297  5.012625
236  25.70 0.13882032 20.8605 66.64229 21.88338 1.148918  4.993125
237  25.75 0.13903741 20.6736 66.95964 21.78448 1.149167  4.985329
238  25.80 0.13925123 20.4854 65.83208 21.68536 1.149413  4.977674
239  25.85 0.13945699 20.2951 65.01902 21.58644 1.149649  4.970330
240  25.90 0.13965178 20.0980 63.54595 21.48644 1.149873  4.963397
241  25.95 0.13984383 19.9059 64.39425 21.38826 1.150094  4.956581
242  26.00 0.14002480 19.7117 65.42521 21.29060 1.150302  4.950174
243  26.05 0.14019520 19.5161 63.28027 21.19359 1.150498  4.944158
244  26.10 0.14035468 19.3145 62.69339 21.09553 1.150682  4.938540
245  26.15 0.14050528 19.1176 61.38632 20.99999 1.150855  4.933247
246  26.20 0.14063967 18.9187 62.23616 20.90556 1.151010  4.928532
247  26.25 0.14076176 18.7190 62.53352 20.81204 1.151150  4.924258
248  26.30 0.14087064 18.5183 62.18184 20.71943 1.151276  4.920452
249  26.35 0.14140027 18.4703 60.04214 20.62347 1.151886  4.902022
250  26.40 0.14148773 18.2694 60.22403 20.53342 1.151986  4.898992
251  26.45 0.14155793 18.0672 59.85979 20.44462 1.152067  4.896562
252  26.50 0.14161137 17.8644 60.77798 20.35719 1.152129  4.894714
253  26.55 0.14164620 17.6552 60.15769 20.26902 1.152169  4.893511
254  26.60 0.14166793 17.4518 58.67617 20.18412 1.152194  4.892760
255  26.65 0.14167009 17.2470 57.40657 20.10049 1.152196  4.892686
256  26.70 0.14165481 17.0415 58.06518 20.01804 1.152179  4.893213
257  26.75 0.14162278 16.8355 59.42729 19.93669 1.152142  4.894320
258  26.80 0.14157094 16.6234 57.19012 19.85444 1.152082  4.896112
259  26.85 0.14150666 16.4170 57.78659 19.77516 1.152008  4.898336
260  26.90 0.14142445 16.2102 55.95776 19.69702 1.151913  4.901183
